Plant,Region,State,Product,Industry,Month,Year,Production_Volume_Tons,Sales_Volume_Tons,Revenue_INR,Production_Cost_INR,Profit_INR,Customer_Count,Delivery_Time_Days,Customer_Satisfaction,Plant_Efficiency_Percent
Pune,West,Maharashtra,Carbon Dioxide,Steel,Oct,2023,4917,4796,17807548,10053363,7754185,197,8,9.01,80.1
Bengaluru,South,Karnataka,Carbon Dioxide,Chemical,Apr,2025,1076,912,2242608,1293220,949388,452,6,7.69,93.99
Vadodara,West,Gujarat,Oxygen,Pharmaceutical,Oct,2024,2206,1791,6653565,4266844,2386721,390,5,8.14,84.1
Vadodara,West,Gujarat,Hydrogen,Steel,Sep,2022,1129,989,3474357,1917690,1556667,226,1,8.08,83.63
Hyderabad,South,Telangana,Oxygen,Steel,Jul,2024,1756,1733,6183344,3736301,2447043,384,10,8.38,86.96
Hyderabad,South,Telangana,Oxygen,Healthcare,Oct,2024,1984,1847,3368928,2816775,552153,323,8,9.43,77.85
Bengaluru,South,Karnataka,Carbon Dioxide,Food & Beverage,Mar,2022,1649,1534,4022148,3102946,919202,126,5,7.98,76.62
Chennai,South,Tamil Nadu,Argon,Healthcare,May,2023,4293,3481,10237621,7716292,2521329,178,8,7.59,77.69
Chennai,South,Tamil Nadu,Helium,Food & Beverage,Oct,2025,2501,2046,5157966,2855622,2302344,385,10,7.13,83.08
Hyderabad,South,Telangana,Argon,Chemical,Jan,2023,4360,4035,16390170,11931003,4459167,197,6,8.97,96.46
Vadodara,West,Gujarat,Nitrogen,Pharmaceutical,Feb,2023,945,889,3479546,1982949,1496597,225,2,8.07,85.74
Pune,West,Maharashtra,Hydrogen,Electronics,Sep,2024,3484,3126,12666552,7760508,4906044,203,5,9.13,80.78
Vadodara,West,Gujarat,Nitrogen,Healthcare,Oct,2024,2167,1920,5790720,4490158,1300562,428,8,8.27,76.24
Pune,West,Maharashtra,Carbon Dioxide,Healthcare,Jan,2025,775,733,2715765,2287842,427923,281,5,9.23,97.91
Bengaluru,South,Karnataka,Oxygen,Pharmaceutical,Feb,2025,1004,809,2337201,1709282,627919,223,9,9.12,78.52
Vadodara,West,Gujarat,Helium,Electronics,Feb,2023,1390,1182,3281232,2156100,1125132,425,4,8.89,79.13
Pune,West,Maharashtra,Helium,Pharmaceutical,Sep,2023,4176,3449,8881175,7272407,1608768,103,10,8.53,75.3
Jamshedpur,East,Jharkhand,Oxygen,Food & Beverage,Oct,2022,4440,4317,9708933,5661722,4047211,190,7,9.19,91.8
Hazira,West,Gujarat,Argon,Chemical,Apr,2023,2861,2660,5460980,4619235,841745,420,7,8.9,84.1
Chennai,South,Tamil Nadu,Hydrogen,Steel,Apr,2025,765,646,2192524,1796435,396089,127,10,7.48,85.54
Pune,West,Maharashtra,Oxygen,Steel,May,2024,2742,2588,6679628,4333494,2346134,67,7,7.37,89.22
Chennai,South,Tamil Nadu,Oxygen,Food & Beverage,Nov,2024,4252,3900,11232000,9041229,2190771,96,3,8.92,83.91
Dahej,West,Gujarat,Hydrogen,Steel,Aug,2025,3648,2948,5990336,3711220,2279116,477,2,9.66,79.47
Bengaluru,South,Karnataka,Argon,Food & Beverage,Mar,2023,2708,2356,6309368,4765463,1543905,314,8,7.86,80.55
Dahej,West,Gujarat,Hydrogen,Chemical,Aug,2024,941,847,1561021,1210809,350212,369,5,7.4,97.65
Pune,West,Maharashtra,Carbon Dioxide,Food & Beverage,Feb,2022,1617,1530,3154860,2102961,1051899,396,8,7.79,83.3
Vadodara,West,Gujarat,Helium,Electronics,Sep,2025,1848,1745,7105640,5579801,1525839,428,7,9.21,96.88
Dahej,West,Gujarat,Nitrogen,Chemical,Dec,2023,3570,3358,14080094,8179974,5900120,320,3,8.63,81.89
Pune,West,Maharashtra,Hydrogen,Healthcare,Oct,2023,1215,1016,2041144,1465194,575950,296,8,9.81,79.41
Jamshedpur,East,Jharkhand,Nitrogen,Chemical,Feb,2024,1798,1608,6062160,4775790,1286370,141,1,7.02,82.73
Jamshedpur,East,Jharkhand,Hydrogen,Steel,Nov,2023,2686,2266,5556232,4713303,842929,214,3,9.24,88.94
Chennai,South,Tamil Nadu,Argon,Electronics,Jul,2023,3650,3141,13028868,8344951,4683917,388,3,9.07,75.27
Hazira,West,Gujarat,Hydrogen,Food & Beverage,Oct,2023,4823,4257,10808523,6758070,4050453,114,2,7.23,96.61
Vadodara,West,Gujarat,Helium,Food & Beverage,Jan,2024,595,510,1185750,830518,355232,364,2,8.99,79.92
Hyderabad,South,Telangana,Helium,Electronics,Apr,2025,503,418,843524,561609,281915,408,3,7.67,83.7
Dahej,West,Gujarat,Hydrogen,Chemical,Feb,2025,4562,4052,11207832,7204620,4003212,392,8,8.03,96.99
Chennai,South,Tamil Nadu,Carbon Dioxide,Chemical,Feb,2022,4495,3629,7606384,5018349,2588035,91,8,8.1,80.35
Pune,West,Maharashtra,Nitrogen,Electronics,Sep,2024,1927,1850,4863650,3995322,868328,187,10,7.3,92.05
Chennai,South,Tamil Nadu,Carbon Dioxide,Chemical,Jun,2024,728,711,2487078,1867392,619686,432,3,8.21,87.21
Pune,West,Maharashtra,Nitrogen,Steel,Jun,2023,4058,4015,7612440,4891486,2720954,88,5,7.24,87.93
Jamshedpur,East,Jharkhand,Oxygen,Electronics,Jan,2024,3339,2682,7254810,4515116,2739694,373,10,8.16,86.04
Hazira,West,Gujarat,Argon,Pharmaceutical,Jul,2022,3783,3618,12181806,8115431,4066375,344,2,7.75,88.13
Hazira,West,Gujarat,Nitrogen,Healthcare,Feb,2023,3930,3292,6198836,3828405,2370431,319,10,7.82,92.98
Bengaluru,South,Karnataka,Helium,Steel,Feb,2023,1120,1085,3213770,2091453,1122317,401,10,9.15,95.54
Dahej,West,Gujarat,Helium,Steel,Jul,2022,2002,1734,3516552,2361812,1154740,329,4,7.38,86.61
Vadodara,West,Gujarat,Carbon Dioxide,Electronics,Jun,2022,1735,1527,5126139,4117080,1009059,441,2,8.49,84.82
Bengaluru,South,Karnataka,Carbon Dioxide,Food & Beverage,Dec,2022,1793,1664,4727424,3346243,1381181,143,2,8.94,79.39
Pune,West,Maharashtra,Nitrogen,Chemical,Apr,2025,2336,1893,3454725,2034384,1420341,92,2,7.14,80.11
Pune,West,Maharashtra,Helium,Chemical,Feb,2023,4549,4372,15879104,9272463,6606641,212,5,7.52,89.55
Bengaluru,South,Karnataka,Oxygen,Healthcare,Dec,2022,1979,1935,4071240,3215064,856176,87,3,9.81,92.19
Vadodara,West,Gujarat,Nitrogen,Pharmaceutical,Sep,2022,2834,2608,5346400,4375819,970581,304,7,8.86,93.38
Hazira,West,Gujarat,Hydrogen,Electronics,Oct,2023,4504,3884,9442004,7226713,2215291,214,10,7.43,90.03
Vadodara,West,Gujarat,Nitrogen,Steel,Jan,2023,2557,2367,9565047,7072555,2492492,278,8,7.95,96.39
Hyderabad,South,Telangana,Argon,Food & Beverage,Apr,2025,1418,1353,3988644,2618148,1370496,224,4,8.73,83.13
Dahej,West,Gujarat,Carbon Dioxide,Electronics,Dec,2025,4798,4002,11001498,6391572,4609926,141,6,7.73,93.41
Dahej,West,Gujarat,Hydrogen,Electronics,Dec,2022,662,648,2138400,1769722,368678,178,3,8.34,92.56
Jamshedpur,East,Jharkhand,Argon,Electronics,Feb,2022,4901,4288,17619392,13304475,4314917,465,5,9.07,88.75
Dahej,West,Gujarat,Oxygen,Chemical,May,2024,1987,1923,4084452,2548883,1535569,452,8,7.2,86.77
Bengaluru,South,Karnataka,Hydrogen,Pharmaceutical,Sep,2024,3873,3207,9390096,6700777,2689319,402,3,8.19,86.7
Hazira,West,Gujarat,Carbon Dioxide,Food & Beverage,Feb,2022,2504,2424,8001624,6479671,1521953,190,7,8.39,97.65
Chennai,South,Tamil Nadu,Helium,Electronics,Feb,2024,4504,4217,13127521,7741104,5386417,127,10,9.32,88.48
Vadodara,West,Gujarat,Oxygen,Electronics,Jan,2025,4395,4332,13234260,10795275,2438985,81,4,8.09,89.82
Pune,West,Maharashtra,Argon,Pharmaceutical,Sep,2025,4229,3588,10394436,6717210,3677226,471,1,8.5,87.78
Vadodara,West,Gujarat,Carbon Dioxide,Pharmaceutical,Jul,2025,1757,1546,5106438,3063403,2043035,213,8,8.47,93.08
Vadodara,West,Gujarat,Oxygen,Steel,Aug,2023,1147,1119,2549082,1406572,1142510,216,4,7.17,92.82
Pune,West,Maharashtra,Argon,Electronics,May,2025,975,824,2410200,2024048,386152,87,6,7.1,88.73
Dahej,West,Gujarat,Hydrogen,Food & Beverage,Dec,2023,4544,3761,7811597,6260032,1551565,369,9,7.13,79.95
Jamshedpur,East,Jharkhand,Carbon Dioxide,Electronics,Apr,2024,1445,1348,5404132,4548016,856116,264,4,7.51,84.85
Bengaluru,South,Karnataka,Argon,Electronics,Mar,2024,1730,1541,5099169,3291945,1807224,226,5,8.83,87.39
Pune,West,Maharashtra,Helium,Healthcare,Aug,2022,4857,4332,15196656,8599549,6597107,54,6,9.38,93.0
Bengaluru,South,Karnataka,Oxygen,Chemical,Apr,2022,3243,2842,7716030,6516464,1199566,362,6,7.58,98.38
Bengaluru,South,Karnataka,Carbon Dioxide,Chemical,Aug,2023,2321,2083,4334723,3556634,778089,386,10,7.46,78.1
Chennai,South,Tamil Nadu,Oxygen,Healthcare,Mar,2024,870,778,2443698,1609321,834377,376,10,9.58,80.27
Jamshedpur,East,Jharkhand,Oxygen,Chemical,Jun,2025,3887,3428,7726712,6429956,1296756,459,9,8.54,88.57
Vadodara,West,Gujarat,Hydrogen,Pharmaceutical,Dec,2022,4192,3515,12878960,10624425,2254535,98,10,7.5,91.74
Chennai,South,Tamil Nadu,Hydrogen,Chemical,Oct,2022,837,699,2187870,1272132,915738,404,1,7.09,98.59
Jamshedpur,East,Jharkhand,Oxygen,Steel,Feb,2022,3828,3659,12524757,10386292,2138465,228,4,8.2,93.09
Hazira,West,Gujarat,Nitrogen,Healthcare,Apr,2022,3241,2931,9399717,7251540,2148177,454,9,9.04,87.3
Jamshedpur,East,Jharkhand,Helium,Steel,May,2024,4021,3711,14899665,11025229,3874436,231,2,9.25,80.53
Hazira,West,Gujarat,Nitrogen,Steel,Apr,2022,3811,3329,10809263,6791983,4017280,330,8,7.04,84.24
Hazira,West,Gujarat,Oxygen,Food & Beverage,Jun,2024,2605,2194,7444242,5560701,1883541,280,5,9.66,84.54
Hyderabad,South,Telangana,Oxygen,Food & Beverage,Mar,2023,3320,3051,11526678,6552889,4973789,51,6,7.85,87.91
Pune,West,Maharashtra,Oxygen,Chemical,Jun,2022,3359,3206,8284304,5500614,2783690,229,9,8.23,94.62
Chennai,South,Tamil Nadu,Hydrogen,Pharmaceutical,Nov,2023,3129,2514,7655130,5802161,1852969,111,6,8.13,84.45
Hyderabad,South,Telangana,Oxygen,Electronics,Feb,2022,1717,1524,5742432,3349789,2392643,75,6,8.01,83.89
Dahej,West,Gujarat,Hydrogen,Electronics,Apr,2025,2010,1667,3780756,2844939,935817,154,2,9.0,81.14
Pune,West,Maharashtra,Argon,Electronics,Dec,2024,1495,1443,4049058,3237947,811111,467,7,9.6,92.11
Hazira,West,Gujarat,Oxygen,Food & Beverage,Mar,2025,935,772,3158252,2056188,1102064,223,9,9.72,81.66
Bengaluru,South,Karnataka,Oxygen,Healthcare,Apr,2025,4684,4201,13317170,7903825,5413345,465,5,8.44,93.72
Vadodara,West,Gujarat,Hydrogen,Pharmaceutical,Apr,2024,4754,4116,13405812,10396694,3009118,389,4,9.01,84.62
Dahej,West,Gujarat,Hydrogen,Healthcare,Jun,2022,4524,4365,11012895,7127860,3885035,89,7,7.48,88.48
Hyderabad,South,Telangana,Nitrogen,Healthcare,Apr,2025,3811,3546,7666452,5938444,1728008,170,2,7.57,92.42
Bengaluru,South,Karnataka,Carbon Dioxide,Food & Beverage,Dec,2024,1039,897,2939469,2009012,930457,93,7,8.55,86.73
Chennai,South,Tamil Nadu,Hydrogen,Healthcare,Jan,2025,1873,1815,4624620,3547334,1077286,422,3,7.57,89.47
Pune,West,Maharashtra,Nitrogen,Electronics,Jul,2024,4254,3881,11390735,8533172,2857563,57,8,9.22,93.35
Hazira,West,Gujarat,Carbon Dioxide,Steel,Mar,2025,3400,2763,9159345,5921115,3238230,331,10,9.67,83.07
Bengaluru,South,Karnataka,Oxygen,Food & Beverage,Oct,2024,3378,3050,6954000,5284009,1669991,123,4,7.76,92.65
Hazira,West,Gujarat,Hydrogen,Steel,May,2022,3215,2594,9499228,6295780,3203448,97,7,9.72,93.62
Chennai,South,Tamil Nadu,Carbon Dioxide,Electronics,Jul,2022,1369,1292,5219680,3113842,2105838,441,7,7.07,90.74
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,May,2022,1563,1322,4998482,4030696,967786,342,5,9.17,79.76
Vadodara,West,Gujarat,Oxygen,Electronics,Jun,2023,1260,1140,4537200,3474170,1063030,188,2,8.59,80.56
Chennai,South,Tamil Nadu,Nitrogen,Pharmaceutical,Jan,2025,2873,2633,5342357,4195492,1146865,367,8,9.02,84.32
Dahej,West,Gujarat,Helium,Chemical,Aug,2024,3581,3323,9227971,5352736,3875235,164,5,7.71,83.38
Vadodara,West,Gujarat,Hydrogen,Electronics,Mar,2025,4388,3836,12325068,10306915,2018153,446,2,9.88,98.22
Hazira,West,Gujarat,Hydrogen,Chemical,Apr,2023,4225,3874,10684492,8820939,1863553,96,1,8.11,82.86
Vadodara,West,Gujarat,Nitrogen,Chemical,Dec,2023,2843,2494,6935814,5238834,1696980,357,2,9.82,92.07
Hyderabad,South,Telangana,Argon,Steel,May,2022,3147,2622,9245172,6557447,2687725,204,4,8.5,83.71
Jamshedpur,East,Jharkhand,Carbon Dioxide,Chemical,Nov,2022,3457,3144,9039000,6546770,2492230,257,2,9.45,97.22
Pune,West,Maharashtra,Carbon Dioxide,Electronics,Oct,2024,2012,1960,3812200,3086316,725884,171,2,7.23,94.5
Vadodara,West,Gujarat,Helium,Chemical,Jun,2022,1484,1254,4219710,2559119,1660591,308,10,9.73,90.47
Dahej,West,Gujarat,Hydrogen,Healthcare,Jul,2023,3254,3071,12069030,9361534,2707496,287,8,7.55,95.0
Chennai,South,Tamil Nadu,Hydrogen,Chemical,Mar,2025,4063,3779,12020999,7661169,4359830,299,3,8.63,77.39
Pune,West,Maharashtra,Carbon Dioxide,Healthcare,Jul,2023,2654,2271,4943967,3195119,1748848,100,3,9.0,97.25
Pune,West,Maharashtra,Nitrogen,Food & Beverage,Aug,2023,3003,2621,5294420,3153121,2141299,273,3,7.79,86.82
Hyderabad,South,Telangana,Hydrogen,Food & Beverage,Jan,2024,1332,1168,4072816,2959214,1113602,498,7,8.3,80.13
Jamshedpur,East,Jharkhand,Oxygen,Healthcare,Dec,2024,1939,1809,3742821,2760296,982525,267,9,8.17,90.79
Dahej,West,Gujarat,Nitrogen,Food & Beverage,Jan,2025,2658,2193,7298304,5637314,1660990,444,6,7.7,82.12
Bengaluru,South,Karnataka,Oxygen,Steel,Sep,2025,1667,1629,5628195,3583696,2044499,379,9,9.63,92.62
Dahej,West,Gujarat,Argon,Healthcare,Apr,2024,3528,3481,8476235,6509535,1966700,91,8,7.09,90.02
Chennai,South,Tamil Nadu,Argon,Pharmaceutical,Apr,2023,3416,3249,8369424,5330900,3038524,274,4,8.27,80.94
Hyderabad,South,Telangana,Hydrogen,Food & Beverage,Mar,2023,1336,1157,4127019,2447298,1679721,446,7,7.23,94.72
Pune,West,Maharashtra,Hydrogen,Steel,Mar,2025,2160,1840,3564080,2118856,1445224,343,8,7.81,85.26
Vadodara,West,Gujarat,Helium,Chemical,Jul,2023,3437,2763,10377828,7210736,3167092,270,9,9.02,94.45
Pune,West,Maharashtra,Helium,Pharmaceutical,Aug,2025,843,677,1655942,1181913,474029,109,3,7.87,86.08
Hazira,West,Gujarat,Hydrogen,Food & Beverage,Aug,2024,1529,1465,4019960,3402793,617167,442,3,9.01,84.9
Pune,West,Maharashtra,Argon,Pharmaceutical,Jul,2022,3953,3572,13487872,8965785,4522087,55,4,7.51,80.55
Bengaluru,South,Karnataka,Oxygen,Healthcare,Jan,2025,1677,1472,3123584,2586275,537309,334,8,9.78,98.1
Jamshedpur,East,Jharkhand,Helium,Electronics,Jul,2025,1450,1196,2712528,2123972,588556,402,1,8.58,97.36
Hyderabad,South,Telangana,Carbon Dioxide,Food & Beverage,Nov,2024,951,784,1822016,1228880,593136,202,7,7.11,85.51
Vadodara,West,Gujarat,Hydrogen,Electronics,Apr,2024,4025,3491,13335620,9038797,4296823,306,3,9.47,81.52
Hazira,West,Gujarat,Argon,Chemical,Jun,2023,3264,3205,8002885,4626913,3375972,472,5,7.05,77.46
Chennai,South,Tamil Nadu,Oxygen,Chemical,Jan,2022,1521,1327,4428199,2748833,1679366,424,5,9.8,94.97
Hazira,West,Gujarat,Carbon Dioxide,Pharmaceutical,Feb,2022,4925,4489,11747713,7260563,4487150,389,4,9.79,80.86
Hazira,West,Gujarat,Hydrogen,Electronics,Mar,2025,4342,3572,9555100,7773240,1781860,157,1,8.29,78.11
Bengaluru,South,Karnataka,Carbon Dioxide,Pharmaceutical,Mar,2022,767,679,1829905,1195388,634517,92,7,7.98,96.03
Pune,West,Maharashtra,Carbon Dioxide,Steel,Feb,2023,2568,2471,4551582,2824077,1727505,490,8,9.68,91.89
Vadodara,West,Gujarat,Nitrogen,Healthcare,Jun,2022,3665,3326,9366016,5519259,3846757,134,2,8.89,82.84
Bengaluru,South,Karnataka,Oxygen,Food & Beverage,Jul,2025,4823,4145,8472380,6551553,1920827,127,7,9.19,76.02
Hazira,West,Gujarat,Helium,Chemical,Jan,2022,3813,3510,11084580,7041062,4043518,273,6,7.96,76.05
Jamshedpur,East,Jharkhand,Carbon Dioxide,Chemical,Jan,2024,2201,1882,4473514,2964632,1508882,457,8,7.4,96.27
Hyderabad,South,Telangana,Oxygen,Steel,Sep,2022,4316,3708,11339064,7734405,3604659,500,3,9.11,87.53
Bengaluru,South,Karnataka,Carbon Dioxide,Healthcare,May,2023,3272,2786,11595332,9525255,2070077,248,8,8.13,85.28
